Zmienna;Typ informacji;Jednostka terytorialna;Płeć;Wiek - pojedyncze roczniki;Szereg czasowy;Wartość
Ludność;[osoba];POLSKA;Mężczyźni;3 lata;2001;201358
Ludność;[osoba];POLSKA;Mężczyźni;24 lata;2001;310173
Ludność;[osoba];POLSKA;Kobiety;93 lata;2001;9224
Ludność;[osoba];POLSKA;Kobiety;50 lat;2001;306470
Ludność;[osoba];POLSKA;Kobiety;61 lat;2001;182536
Ludność;[osoba];POLSKA;Kobiety;56 lat;2001;171403
Ludność;[osoba];POLSKA;Ogółem;77 lat;2001;196801
Ludność;[osoba];POLSKA;Ogółem;71 lat;2001;309452
Ludność;[osoba];POLSKA;Kobiety;67 lat;2001;179954
Ludność;[osoba];POLSKA;Ogółem;84 lata;2001;54122
Ludność;[osoba];POLSKA;Mężczyźni;98 lat;2001;353
Ludność;[osoba];POLSKA;Mężczyźni;68 lat;2001;129665
Ludność;[osoba];POLSKA;Mężczyźni;79 lat;2001;53969
Ludność;[osoba];POLSKA;Kobiety;17 lat;2001;332691
Ludność;[osoba];POLSKA;Kobiety;11 lat;2001;268486
Ludność;[osoba];POLSKA;Kobiety;22 lata;2001;312335
Ludność;[osoba];POLSKA;Ogółem;44 lata;2001;637274
Ludność;[osoba];POLSKA;Ogółem;10 lat;2001;535816
Ludność;[osoba];POLSKA;Ogółem;16 lat;2001;660538
Ludność;[osoba];POLSKA;Ogółem;21 lat;2001;645691
Ludność;[osoba];POLSKA;Ogółem;5 lat;2001;427270
Ludność;[osoba];POLSKA;Mężczyźni;85 lat;2001;14748
Ludność;[osoba];POLSKA;Mężczyźni;74 lata;2001;89802
Ludność;[osoba];POLSKA;Mężczyźni;8 lat;2001;247288
Ludność;[osoba];POLSKA;Ogółem;30 lat;2001;512943
Ludność;[osoba];POLSKA;Ogółem;25 lat;2001;614158
Ludność;[osoba];POLSKA;Kobiety;60 lat;2001;172543
Ludność;[osoba];POLSKA;Kobiety;55 lat;2001;234636
Ludność;[osoba];POLSKA;Kobiety;5 lat;2001;208190
Ludność;[osoba];POLSKA;Mężczyźni;17 lat;2001;347954
Ludność;[osoba];POLSKA;Mężczyźni;11 lat;2001;281509
Ludność;[osoba];POLSKA;Mężczyźni;93 lata;2001;2884
Ludność;[osoba];POLSKA;Kobiety;66 lat;2001;185304
Ludność;[osoba];POLSKA;Kobiety;75 lat;2001;147400
Ludność;[osoba];POLSKA;Kobiety;80 lat;2001;89889
Ludność;[osoba];POLSKA;Ogółem;93 lata;2001;12108
Ludność;[osoba];POLSKA;Ogółem;88 lat;2001;44512
Ludność;[osoba];POLSKA;Ogółem;99 lat;2001;1066
Ludność;[osoba];POLSKA;Kobiety;7 lat;2001;227573
Ludność;[osoba];POLSKA;Ogółem;49 lat;2001;606495
Ludność;[osoba];POLSKA;Kobiety;81 lat;2001;80635
Ludność;[osoba];POLSKA;Kobiety;76 lat;2001;147884
Ludność;[osoba];POLSKA;Kobiety;70 lat;2001;180491
Ludność;[osoba];POLSKA;Ogółem;65 lat;2001;335300
Ludność;[osoba];POLSKA;Mężczyźni;72 lata;2001;112691
Ludność;[osoba];POLSKA;Mężczyźni;12 lat;2001;285155
Ludność;[osoba];POLSKA;Mężczyźni;94 lata;2001;2052
Ludność;[osoba];POLSKA;Mężczyźni;18 lat;2001;353634
Ludność;[osoba];POLSKA;Mężczyźni;89 lat;2001;9658
Ludność;[osoba];POLSKA;Kobiety;18 lat;2001;340705
Ludność;[osoba];POLSKA;Kobiety;4 lata;2001;198729
Ludność;[osoba];POLSKA;Kobiety;34 lata;2001;231587
Ludność;[osoba];POLSKA;Kobiety;29 lat;2001;263473
Ludność;[osoba];POLSKA;Kobiety;47 lat;2001;314359
Ludność;[osoba];POLSKA;Ogółem;92 lata;2001;16867
Ludność;[osoba];POLSKA;Ogółem;98 lat;2001;1620
Ludność;[osoba];POLSKA;Kobiety;85 lat;2001;36315
Ludność;[osoba];POLSKA;Ogółem;56 lat;2001;324066
Ludność;[osoba];POLSKA;Mężczyźni;53 lata;2001;254272
Ludność;[osoba];POLSKA;Mężczyźni;7 lat;2001;236849
Ludność;[osoba];POLSKA;Mężczyźni;86 lat;2001;13208
Ludność;[osoba];POLSKA;Mężczyźni;80 lat;2001;42929
Ludność;[osoba];POLSKA;Mężczyźni;75 lat;2001;81531
Ludność;[osoba];POLSKA;Mężczyźni;31 lat;2001;254406
Ludność;[osoba];POLSKA;Kobiety;95 lat;2001;4609
Ludność;[osoba];POLSKA;Ogółem;0lat;2001;362721
Ludność;[osoba];POLSKA;Mężczyźni;48 lat;2001;300452
Ludność;[osoba];POLSKA;Mężczyźni;42 lata;2001;300264
Ludność;[osoba];POLSKA;Mężczyźni;2 lata;2001;195155
Ludność;[osoba];POLSKA;Kobiety;35 lat;2001;233694
Ludność;[osoba];POLSKA;Kobiety;48 lat;2001;312094
Ludność;[osoba];POLSKA;Kobiety;3 lata;2001;190666
Ludność;[osoba];POLSKA;Kobiety;53 lata;2001;273065
Ludność;[osoba];POLSKA;Mężczyźni;13 lat;2001;292411
Ludność;[osoba];POLSKA;Kobiety;59 lat;2001;161962
Ludność;[osoba];POLSKA;Kobiety;21 lat;2001;318107
Ludność;[osoba];POLSKA;Kobiety;16 lat;2001;322775
Ludność;[osoba];POLSKA;Kobiety;43 lata;2001;313935
Ludność;[osoba];POLSKA;Kobiety;38 lat;2001;250998
Ludność;[osoba];POLSKA;Kobiety;32 lata;2001;237123
Ludność;[osoba];POLSKA;Kobiety;27 lat;2001;282557
Ludność;[osoba];POLSKA;Mężczyźni;88 lat;2001;11837
Ludność;[osoba];POLSKA;Ogółem;79 lat;2001;165803
Ludność;[osoba];POLSKA;Mężczyźni;62 lata;2001;150626
Ludność;[osoba];POLSKA;Mężczyźni;57 lat;2001;148041
Ludność;[osoba];POLSKA;Mężczyźni;51 lat;2001;278108
Ludność;[osoba];POLSKA;Mężczyźni;73 lata;2001;103364
Ludność;[osoba];POLSKA;Kobiety;68 lat;2001;174846
Ludność;[osoba];POLSKA;Ogółem;97 lat;2001;2708
Ludność;[osoba];POLSKA;Kobiety;79 lat;2001;111834
Ludność;[osoba];POLSKA;Kobiety;9 lat;2001;247190
Ludność;[osoba];POLSKA;Ogółem;86 lat;2001;48435
Ludność;[osoba];POLSKA;Ogółem;91 lat;2001;23375
Ludność;[osoba];POLSKA;Ogółem;55 lat;2001;446577
Ludność;[osoba];POLSKA;Ogółem;74 lata;2001;240118
Ludność;[osoba];POLSKA;Mężczyźni;69 lat;2001;130350
Ludność;[osoba];POLSKA;Mężczyźni;63 lata;2001;147319
Ludność;[osoba];POLSKA;Mężczyźni;52 lata;2001;262436
Ludność;[osoba];POLSKA;Mężczyźni;58 lat;2001;142738
Ludność;[osoba];POLSKA;Ogółem;62 lata;2001;335077
Ludność;[osoba];POLSKA;Mężczyźni;33 lata;2001;241123
Ludność;[osoba];POLSKA;Mężczyźni;28 lat;2001;279577
Ludność;[osoba];POLSKA;Mężczyźni;22 lata;2001;323305
Ludność;[osoba];POLSKA;Mężczyźni;95 lat;2001;1368
Ludność;[osoba];POLSKA;Kobiety;49 lat;2001;310119
Ludność;[osoba];POLSKA;Kobiety;6 lat;2001;214715
Ludność;[osoba];POLSKA;Kobiety;54 lata;2001;255442
Ludność;[osoba];POLSKA;Kobiety;83 lata;2001;43075
Ludność;[osoba];POLSKA;Kobiety;78 lat;2001;123990
Ludność;[osoba];POLSKA;Kobiety;72 lata;2001;170034
Ludność;[osoba];POLSKA;Ogółem;58 lat;2001;306785
Ludność;[osoba];POLSKA;Ogółem;52 lata;2001;543406
Ludność;[osoba];POLSKA;Ogółem;72 lata;2001;282725
Ludność;[osoba];POLSKA;Ogółem;78 lat;2001;185811
Ludność;[osoba];POLSKA;Ogółem;69 lat;2001;312305
Ludność;[osoba];POLSKA;Mężczyźni;61 lat;2001;151654
Ludność;[osoba];POLSKA;Ogółem;67 lat;2001;314917
Ludność;[osoba];POLSKA;Mężczyźni;50 lat;2001;288943
Ludność;[osoba];POLSKA;Ogółem;22 lata;2001;635640
Ludność;[osoba];POLSKA;Ogółem;17 lat;2001;680645
Ludność;[osoba];POLSKA;Ogółem;11 lat;2001;549995
Ludność;[osoba];POLSKA;Kobiety;98 lat;2001;1267
Ludność;[osoba];POLSKA;Mężczyźni;99 lat;2001;216
Ludność;[osoba];POLSKA;Kobiety;63 lata;2001;183811
Ludność;[osoba];POLSKA;Ogółem;42 lata;2001;600989
Ludność;[osoba];POLSKA;Ogółem;59 lat;2001;301100
Ludność;[osoba];POLSKA;Ogółem;95 lat;2001;5977
Ludność;[osoba];POLSKA;Ogółem;9 lat;2001;505586
Ludność;[osoba];POLSKA;Ogółem;53 lata;2001;527337
Ludność;[osoba];POLSKA;Mężczyźni;65 lat;2001;146398
Ludność;[osoba];POLSKA;Mężczyźni;54 lata;2001;235867
Ludność;[osoba];POLSKA;Mężczyźni;81 lat;2001;39068
Ludność;[osoba];POLSKA;Mężczyźni;6 lat;2001;224359
Ludność;[osoba];POLSKA;Mężczyźni;87 lat;2001;14331
Ludność;[osoba];POLSKA;Mężczyźni;76 lat;2001;78500
Ludność;[osoba];POLSKA;Mężczyźni;27 lat;2001;291934
Ludność;[osoba];POLSKA;Mężczyźni;43 lata;2001;312041
Ludność;[osoba];POLSKA;Kobiety;96 lat;2001;2993
Ludność;[osoba];POLSKA;Mężczyźni;49 lat;2001;296376
Ludność;[osoba];POLSKA;Kobiety;90 lat;2001;21522
Ludność;[osoba];POLSKA;Mężczyźni;15 lat;2001;314970
Ludność;[osoba];POLSKA;Ogółem;100 lat i więcej;2001;1405
Ludność;[osoba];POLSKA;Mężczyźni;36 lat;2001;243879
Ludność;[osoba];POLSKA;Kobiety;100 lat i więcej;2001;1114
Ludność;[osoba];POLSKA;Kobiety;94 lata;2001;6811
Ludność;[osoba];POLSKA;Mężczyźni;47 lat;2001;303610
Ludność;[osoba];POLSKA;Ogółem;13 lat;2001;571914
Ludność;[osoba];POLSKA;Mężczyźni;41 lat;2001;282875
Ludność;[osoba];POLSKA;Mężczyźni;46 lat;2001;316860
Ludność;[osoba];POLSKA;Mężczyźni;40 lat;2001;266861
Ludność;[osoba];POLSKA;Kobiety;99 lat;2001;850
Ludność;[osoba];POLSKA;Mężczyźni;35 lat;2001;239503
Ludność;[osoba];POLSKA;Ogółem;26 lat;2001;594636
Ludność;[osoba];POLSKA;Ogółem;66 lat;2001;327204
Ludność;[osoba];POLSKA;Mężczyźni;60 lat;2001;147121
Ludność;[osoba];POLSKA;Ogółem;82 lata;2001;96021
Ludność;[osoba];POLSKA;Mężczyźni;66 lat;2001;141900
Ludność;[osoba];POLSKA;Mężczyźni;55 lat;2001;211941
Ludność;[osoba];POLSKA;Mężczyźni;82 lata;2001;29778
Ludność;[osoba];POLSKA;Mężczyźni;84 lata;2001;16409
Ludność;[osoba];POLSKA;Kobiety;44 lata;2001;320590
Ludność;[osoba];POLSKA;Kobiety;33 lata;2001;234082
Ludność;[osoba];POLSKA;Kobiety;39 lat;2001;254105
Ludność;[osoba];POLSKA;Kobiety;28 lat;2001;272014
Ludność;[osoba];POLSKA;Ogółem;38 lat;2001;506113
Ludność;[osoba];POLSKA;Ogółem;60 lat;2001;319664
Ludność;[osoba];POLSKA;Ogółem;27 lat;2001;574491
Ludność;[osoba];POLSKA;Ogółem;12 lat;2001;556470
Ludność;[osoba];POLSKA;Ogółem;18 lat;2001;694339
Ludność;[osoba];POLSKA;Ogółem;23 lata;2001;619043
Ludność;[osoba];POLSKA;Ogółem;32 lata;2001;480992
Ludność;[osoba];POLSKA;Mężczyźni;90 lat;2001;7008
Ludność;[osoba];POLSKA;Ogółem;2 lata;2001;380856
Ludność;[osoba];POLSKA;Ogółem;19 lat;2001;666134
Ludność;[osoba];POLSKA;Ogółem;36 lat;2001;482198
Ludność;[osoba];POLSKA;Ogółem;3 lata;2001;392024
Ludność;[osoba];POLSKA;Ogółem;41 lat;2001;566609
Ludność;[osoba];POLSKA;Mężczyźni;5 lat;2001;219080
Ludność;[osoba];POLSKA;Mężczyźni;44 lata;2001;316684
Ludność;[osoba];POLSKA;Mężczyźni;39 lat;2001;258106
Ludność;[osoba];POLSKA;Kobiety;91 lat;2001;17552
Ludność;[osoba];POLSKA;Kobiety;0lat;2001;176819
Ludność;[osoba];POLSKA;Kobiety;14 lat;2001;284897
Ludność;[osoba];POLSKA;Kobiety;65 lat;2001;188902
Ludność;[osoba];POLSKA;Kobiety;89 lat;2001;28178
Ludność;[osoba];POLSKA;Ogółem;43 lata;2001;625976
Ludność;[osoba];POLSKA;Ogółem;96 lat;2001;3792
Ludność;[osoba];POLSKA;Ogółem;90 lat;2001;28530
Ludność;[osoba];POLSKA;Ogółem;6 lat;2001;439074
Ludność;[osoba];POLSKA;Ogółem;54 lata;2001;491309
Ludność;[osoba];POLSKA;Mężczyźni;67 lat;2001;134963
Ludność;[osoba];POLSKA;Ogółem;83 lata;2001;61447
Ludność;[osoba];POLSKA;Mężczyźni;56 lat;2001;152663
Ludność;[osoba];POLSKA;Mężczyźni;83 lata;2001;18372
Ludność;[osoba];POLSKA;Mężczyźni;78 lat;2001;61821
Ludność;[osoba];POLSKA;Ogółem;39 lat;2001;512211
Ludność;[osoba];POLSKA;Ogółem;33 lata;2001;475205
Ludność;[osoba];POLSKA;Kobiety;12 lat;2001;271315
Ludność;[osoba];POLSKA;Ogółem;28 lat;2001;551591
Ludność;[osoba];POLSKA;Kobiety;23 lata;2001;304870
Ludność;[osoba];POLSKA;Kobiety;45 lat;2001;319658
Ludność;[osoba];POLSKA;Ogółem;48 lat;2001;612546
Ludność;[osoba];POLSKA;Ogółem;64 lata;2001;332344
Ludność;[osoba];POLSKA;Kobiety;8 lat;2001;236394
Ludność;[osoba];POLSKA;Kobiety;74 lata;2001;150316
Ludność;[osoba];POLSKA;Kobiety;69 lat;2001;181955
Ludność;[osoba];POLSKA;Ogółem;87 lat;2001;52871
Ludność;[osoba];POLSKA;Ogółem;80 lat;2001;132818
Ludność;[osoba];POLSKA;Mężczyźni;59 lat;2001;139138
Ludność;[osoba];POLSKA;Mężczyźni;92 lata;2001;4034
Ludność;[osoba];POLSKA;Ogółem;7 lat;2001;464422
Ludność;[osoba];POLSKA;Ogółem;75 lat;2001;228931
Ludność;[osoba];POLSKA;Mężczyźni;64 lata;2001;147008
Ludność;[osoba];POLSKA;Mężczyźni;20 lat;2001;323025
Ludność;[osoba];POLSKA;Mężczyźni;1 rok;2001;193162
Ludność;[osoba];POLSKA;Ogółem;1 rok;2001;376590
Ludność;[osoba];POLSKA;Mężczyźni;37 lat;2001;249663
Ludność;[osoba];POLSKA;Mężczyźni;26 lat;2001;301074
Ludność;[osoba];POLSKA;Kobiety;24 lata;2001;299790
Ludność;[osoba];POLSKA;Kobiety;13 lat;2001;279503
Ludność;[osoba];POLSKA;Kobiety;19 lat;2001;326001
Ludność;[osoba];POLSKA;Kobiety;46 lat;2001;323190
Ludność;[osoba];POLSKA;Kobiety;40 lat;2001;264924
Ludność;[osoba];POLSKA;Ogółem;15 lat;2001;615748
Ludność;[osoba];POLSKA;Mężczyźni;97 lat;2001;549
Ludność;[osoba];POLSKA;Ogółem;20 lat;2001;635359
Ludność;[osoba];POLSKA;Ogółem;37 lat;2001;494102
Ludność;[osoba];POLSKA;Ogółem;31 lat;2001;501190
Ludność;[osoba];POLSKA;Kobiety;10 lat;2001;261162
Ludność;[osoba];POLSKA;Mężczyźni;77 lat;2001;66162
Ludność;[osoba];POLSKA;Mężczyźni;71 lat;2001;125631
Ludność;[osoba];POLSKA;Ogółem;73 lata;2001;266722
Ludność;[osoba];POLSKA;Ogółem;68 lat;2001;304511
Ludność;[osoba];POLSKA;Kobiety;57 lat;2001;168829
Ludność;[osoba];POLSKA;Kobiety;51 lat;2001;294303
Ludność;[osoba];POLSKA;Kobiety;62 lata;2001;184451
Ludność;[osoba];POLSKA;Kobiety;84 lata;2001;37713
Ludność;[osoba];POLSKA;Kobiety;73 lata;2001;163358
Ludność;[osoba];POLSKA;Ogółem;29 lat;2001;535404
Ludność;[osoba];POLSKA;Ogółem;4 lata;2001;407636
Ludność;[osoba];POLSKA;Ogółem;34 lata;2001;469052
Ludność;[osoba];POLSKA;Ogółem;8 lat;2001;483682
Ludność;[osoba];POLSKA;Ogółem;85 lat;2001;51063
Ludność;[osoba];POLSKA;Ogółem;24 lata;2001;609963
Ludność;[osoba];POLSKA;Ogółem;40 lat;2001;531785
Ludność;[osoba];POLSKA;Ogółem;35 lat;2001;473197
Ludność;[osoba];POLSKA;Ogółem;57 lat;2001;316870
Ludność;[osoba];POLSKA;Ogółem;93 lata;2002;12901
Ludność;[osoba];POLSKA;Kobiety;86 lat;2002;32202
Ludność;[osoba];POLSKA;Mężczyźni;96 lat;2002;1016
Ludność;[osoba];POLSKA;Ogółem;51 lat;2002;591001
Ludność;[osoba];POLSKA;Ogółem;46 lat;2002;631054
Ludność;[osoba];POLSKA;Kobiety;20 lat;2002;325655
Ludność;[osoba];POLSKA;Kobiety;15 lat;2002;284683
Ludność;[osoba];POLSKA;Kobiety;1 rok;2002;176754
Ludność;[osoba];POLSKA;Kobiety;37 lat;2002;237893
Ludność;[osoba];POLSKA;Kobiety;31 lat;2002;252898
Ludność;[osoba];POLSKA;Kobiety;26 lat;2002;302331
Ludność;[osoba];POLSKA;Kobiety;42 lata;2002;283108
Ludność;[osoba];POLSKA;Kobiety;2 lata;2002;183398
Ludność;[osoba];POLSKA;Kobiety;14 lat;2002;279331
Ludność;[osoba];POLSKA;Kobiety;97 lat;2002;2166
Ludność;[osoba];POLSKA;Kobiety;41 lat;2002;264346
Ludność;[osoba];POLSKA;Kobiety;36 lat;2002;233319
Ludność;[osoba];POLSKA;Kobiety;30 lat;2002;263163
Ludność;[osoba];POLSKA;Kobiety;25 lat;2002;299444
Ludność;[osoba];POLSKA;Ogółem;47 lat;2002;636630
Ludność;[osoba];POLSKA;Ogółem;94 lata;2002;9167
Ludność;[osoba];POLSKA;Ogółem;89 lat;2002;37078
Ludność;[osoba];POLSKA;Kobiety;87 lat;2002;30673
Ludność;[osoba];POLSKA;Ogółem;63 lata;2002;329654
Ludność;[osoba];POLSKA;Mężczyźni;34 lata;2002;240518
Ludność;[osoba];POLSKA;Mężczyźni;29 lat;2002;279149
Ludność;[osoba];POLSKA;Mężczyźni;23 lata;2002;322744
Ludność;[osoba];POLSKA;Kobiety;92 lata;2002;14054
Ludność;[osoba];POLSKA;Kobiety;58 lat;2002;167664
Ludność;[osoba];POLSKA;Kobiety;82 lata;2002;74623
Ludność;[osoba];POLSKA;Kobiety;52 lata;2002;292975
Ludność;[osoba];POLSKA;Kobiety;77 lat;2002;141521
Ludność;[osoba];POLSKA;Kobiety;71 lat;2002;176688
Ludność;[osoba];POLSKA;Kobiety;88 lat;2002;33006
Ludność;[osoba];POLSKA;Ogółem;45 lat;2002;634437
Ludność;[osoba];POLSKA;Ogółem;76 lat;2002;218095
Ludność;[osoba];POLSKA;Ogółem;50 lat;2002;602492
Ludność;[osoba];POLSKA;Ogółem;81 lat;2002;122676
Ludność;[osoba];POLSKA;Ogółem;70 lat;2002;303369
Ludność;[osoba];POLSKA;Ogółem;61 lat;2002;315116
Ludność;[osoba];POLSKA;Mężczyźni;70 lat;2002;124873
Ludność;[osoba];POLSKA;Mężczyźni;91 lat;2002;5492
Ludność;[osoba];POLSKA;Mężczyźni;21 lat;2002;322342
Ludność;[osoba];POLSKA;Mężczyźni;10 lat;2002;258297
Ludność;[osoba];POLSKA;Mężczyźni;16 lat;2002;314548
Ludność;[osoba];POLSKA;Mężczyźni;38 lat;2002;248831
Ludność;[osoba];POLSKA;Mężczyźni;43 lata;2002;298643
Ludność;[osoba];POLSKA;Mężczyźni;32 lata;2002;253894
Ludność;[osoba];POLSKA;Mężczyźni;14 lat;2002;292161
Ludność;[osoba];POLSKA;Mężczyźni;0lat;2002;181445
Ludność;[osoba];POLSKA;Mężczyźni;25 lat;2002;309674
Ludność;[osoba];POLSKA;Ogółem;14 lat;2002;571492
Ludność;[osoba];POLSKA;Mężczyźni;41 lat;2002;265731
Ludność;[osoba];POLSKA;Mężczyźni;30 lat;2002;271474
Ludność;[osoba];POLSKA;Mężczyźni;100 lat i więcej;2002;358
Ludność;[osoba];POLSKA;Mężczyźni;9 lat;2002;247204
Ludność;[osoba];POLSKA;Mężczyźni;19 lat;2002;352410
Ludność;[osoba];POLSKA;Mężczyźni;35 lat;2002;236854
Ludność;[osoba];POLSKA;Mężczyźni;24 lata;2002;313625
Ludność;[osoba];POLSKA;Kobiety;93 lata;2002;9908
Ludność;[osoba];POLSKA;Mężczyźni;3 lata;2002;195123
Ludność;[osoba];POLSKA;Kobiety;61 lat;2002;171189
Ludność;[osoba];POLSKA;Kobiety;56 lat;2002;233213
Ludność;[osoba];POLSKA;Kobiety;50 lat;2002;308941
Ludność;[osoba];POLSKA;Ogółem;77 lat;2002;214560
Ludność;[osoba];POLSKA;Ogółem;84 lata;2002;55069
Ludność;[osoba];POLSKA;Mężczyźni;98 lat;2002;369
Ludność;[osoba];POLSKA;Mężczyźni;73 lata;2002;106747
Ludność;[osoba];POLSKA;Mężczyźni;68 lat;2002;130101
Ludność;[osoba];POLSKA;Mężczyźni;79 lat;2002;56649
Ludność;[osoba];POLSKA;Kobiety;17 lat;2002;322503
Ludność;[osoba];POLSKA;Kobiety;11 lat;2002;261091
Ludność;[osoba];POLSKA;Ogółem;44 lata;2002;623162
Ludność;[osoba];POLSKA;Ogółem;55 lat;2002;486551
Ludność;[osoba];POLSKA;Ogółem;21 lat;2002;634374
Ludność;[osoba];POLSKA;Ogółem;5 lat;2002;407530
Ludność;[osoba];POLSKA;Ogółem;10 lat;2002;505414
Ludność;[osoba];POLSKA;Ogółem;16 lat;2002;615091
Ludność;[osoba];POLSKA;Mężczyźni;85 lat;2002;14241
Ludność;[osoba];POLSKA;Mężczyźni;74 lata;2002;97464
Ludność;[osoba];POLSKA;Mężczyźni;8 lat;2002;236788
Ludność;[osoba];POLSKA;Ogółem;30 lat;2002;534637
Ludność;[osoba];POLSKA;Ogółem;25 lat;2002;609118
Ludność;[osoba];POLSKA;Kobiety;60 lat;2002;160652
Ludność;[osoba];POLSKA;Kobiety;55 lat;2002;253999
Ludność;[osoba];POLSKA;Kobiety;5 lat;2002;198676
Ludność;[osoba];POLSKA;Mężczyźni;11 lat;2002;274552
Ludność;[osoba];POLSKA;Mężczyźni;93 lata;2002;2993
Ludność;[osoba];POLSKA;Kobiety;64 lata;2002;181814
Ludność;[osoba];POLSKA;Kobiety;75 lat;2002;145315
Ludność;[osoba];POLSKA;Kobiety;80 lat;2002;105190
Ludność;[osoba];POLSKA;Ogółem;88 lat;2002;44864
Ludność;[osoba];POLSKA;Ogółem;99 lat;2002;1125
Ludność;[osoba];POLSKA;Kobiety;7 lat;2002;214646
Ludność;[osoba];POLSKA;Kobiety;65 lat;2002;183204
Ludność;[osoba];POLSKA;Ogółem;6 lat;2002;427159
Ludność;[osoba];POLSKA;Ogółem;49 lat;2002;608911
Ludność;[osoba];POLSKA;Kobiety;81 lat;2002;83901
Ludność;[osoba];POLSKA;Kobiety;76 lat;2002;141973
Ludność;[osoba];POLSKA;Kobiety;70 lat;2002;178496
Ludność;[osoba];POLSKA;Ogółem;65 lat;2002;325947
Ludność;[osoba];POLSKA;Mężczyźni;72 lata;2002;119569
Ludność;[osoba];POLSKA;Mężczyźni;94 lata;2002;2181
Ludność;[osoba];POLSKA;Mężczyźni;18 lat;2002;346581
Ludność;[osoba];POLSKA;Mężczyźni;89 lat;2002;9619
Ludność;[osoba];POLSKA;Mężczyźni;12 lat;2002;281393
Ludność;[osoba];POLSKA;Mężczyźni;4 lata;2002;201300
Ludność;[osoba];POLSKA;Kobiety;18 lat;2002;332349
Ludność;[osoba];POLSKA;Kobiety;4 lata;2002;190621
